"name","main_img","images","description","cat"
"DR-G3872","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3872-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3872-1.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: DR-G3872
2.Chất liệu: Gỗ, acrylic, kính cường lực, nhôm
3.Công nghệ: Châu Âu
4.Bảo hành: Chính hãng
5.Kích thước: 1700x1200x2280mm/1900x1200x2280mm/1900x1300x2280mm

Thông số kỹ thuật:
1.Hơi + SAUNA + tắm + nhạc
2.Phần hơi bao gồm: bảng điều khiển cảm ứng, đèn mái, vòi hoa sen trên, vòi sen tay, massage chân
3.Bảng điều khiển 3 chạm với điều chỉnh ánh sáng, thời gian, nhiệt độ, Ozone, FM, Quạt, loa
4.Với vòi hoa sen bar, máy trộn, công tắc, bộ phân phối thảo mộc thơm, thanh vắt khăn, kệ, massage chân
5.Phần phòng xông hơi khô có Bếp và đá xông hơi, Có bộ hẹn giờ cát, xô và muôi, nhiệt kế / ẩm kế
6.Với băng ghế, kính cường lực 6mm, đá lưng Với đèn xung quanh và ánh sáng trên cùng
7.Tùy chọn gỗ: Gỗ Phần Lan / Hemlock / Gỗ tuyết tùng đỏ / Thông trắng
8.Tùy chọn: Máy lọc không khí, ngăn đựng tách trà, Bluetooth, Ozone","xong-kho-truyen-thong"
"DR-G3880","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3880-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3880-1.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: DR-G3880
2.Chất liệu: Gỗ, acrylic, kính cường lực, nhôm
3.Công nghệ: Châu Âu
4.Bảo hành: Chính hãng
5.Kích thước: 1900x1200x2280mm/1900x1300x2280mm

Thông số kỹ thuật:
1.Hơi + SAUNA + tắm + nhạc
2.Phần hơi bao gồm: bảng điều khiển cảm ứng, đèn mái, vòi hoa sen trên, vòi sen tay, massage chân
3.Bảng điều khiển 3 chạm với điều chỉnh ánh sáng, thời gian, nhiệt độ, Ozone, FM, Quạt, loa
4.Với vòi hoa sen bar, máy trộn, công tắc, bộ phân phối thảo mộc thơm, thanh vắt khăn, kệ, massage chân
5.Phần phòng xông hơi khô có Bếp và đá xông hơi, Có bộ hẹn giờ cát, xô và muôi, nhiệt kế / ẩm kế
6.Với băng ghế, kính cường lực 6mm, đá lưng Với đèn xung quanh và ánh sáng trên cùng
7.Tùy chọn gỗ: Gỗ Phần Lan / Hemlock / Gỗ tuyết tùng đỏ / Thông trắng
8.Tùy chọn: Máy lọc không khí, ngăn đựng tách trà, Bluetooth, Ozone","xong-kho-truyen-thong"
"DR-G3881","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3881-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3881-1.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: DR-G3881
2.Chất liệu: Gỗ, acrylic, kính cường lực, nhôm
3.Công nghệ: Châu Âu
4.Bảo hành: Chính hãng
5.Kích thước: 1800x1200x2000mm/ 2000x1200x2000mm

Thông số kỹ thuật:
1.Hơi + SAUNA + tắm + nhạc
2.Phần hơi bao gồm: bảng điều khiển cảm ứng, đèn mái, vòi hoa sen trên, vòi sen tay, massage chân
3.Bảng điều khiển 3 chạm với điều chỉnh ánh sáng, thời gian, nhiệt độ, Ozone, FM, Quạt, loa
4.Với vòi hoa sen bar, máy trộn, công tắc, bộ phân phối thảo mộc thơm, thanh vắt khăn, kệ, massage chân
5.Phần phòng xông hơi khô có Bếp và đá xông hơi, Có bộ hẹn giờ cát, xô và muôi, nhiệt kế / ẩm kế
6.Với băng ghế, kính cường lực 6mm, đá lưng Với đèn xung quanh và ánh sáng trên cùng
7.Tùy chọn gỗ: Gỗ Phần Lan / Hemlock / Gỗ tuyết tùng đỏ / Thông trắng
8.Tùy chọn: Máy lọc không khí, ngăn đựng tách trà, Bluetooth, Ozone","xong-kho-truyen-thong"
"DR-G3890","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3890-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3890-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3890-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3890-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3890-4.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3890-5.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: DR-G3890
2.Chất liệu: Gỗ, acrylic, kính cường lực, nhôm
3.Công nghệ: Châu Âu
4.Bảo hành: Chính hãng
5.Kích thước: 1800x1300x2200mm/ 2000x1300x2200mm

Thông số kỹ thuật:
1.Hơi + SAUNA + tắm + nhạc
2.Phần hơi bao gồm: bảng điều khiển cảm ứng, đèn mái, vòi hoa sen trên, vòi sen tay, massage chân
3.Bảng điều khiển 3 chạm với điều chỉnh ánh sáng, thời gian, nhiệt độ, Ozone, nghe nhạc, Quạt,…
4.Với vòi hoa sen bar, máy trộn, công tắc, bộ phân phối thảo mộc thơm, thanh vắt khăn, kệ, massage chân
5.Phần phòng xông hơi khô có Bếp và đá xông hơi, Có bộ hẹn giờ cát, xô và muôi, nhiệt kế / ẩm kế
6.Với băng ghế, kính cường lực, đá lưng Với đèn xung quanh và ánh sáng trên cùng
7.Tùy chọn gỗ: Hemlock / Gỗ tuyết tùng đỏ / Thông trắng","xong-kho-truyen-thong"
"DR-G3911","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3911-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3911-1.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: DR-G3911
2.Chất liệu: Gỗ, acrylic, kính cường lực, nhôm
3.Công nghệ: Châu Âu
4.Bảo hành: Chính hãng
5.Kích thước: 1800x1300x2280mm/1900x1300x2280mm

2000x1300x2280mm/2300x1300x2280mm
Thông số kỹ thuật:
1.Hơi + SAUNA + tắm + nhạc
2.Phần hơi bao gồm: bảng điều khiển cảm ứng, đèn mái, vòi hoa sen trên, vòi sen tay, massage chân
3.Bảng điều khiển 3 chạm với điều chỉnh ánh sáng, thời gian, nhiệt độ, Ozone, FM, Quạt, loa
4.Với vòi hoa sen bar, máy trộn, công tắc, bộ phân phối thảo mộc thơm, thanh vắt khăn, kệ, massage chân
5.Phần phòng xông hơi khô có Bếp và đá xông hơi, Có bộ hẹn giờ cát, xô và muôi, nhiệt kế / ẩm kế
6.Với băng ghế, kính cường lực 6mm, Với đèn xung quanh và ánh sáng trên cùng
7.Tùy chọn gỗ: Gỗ Phần Lan / Hemlock / Gỗ tuyết tùng đỏ / Thông trắng
8.Tùy chọn: Máy lọc không khí, ngăn đựng tách trà, Bluetooth, Ozone","xong-kho-truyen-thong"
"DR-H2412","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-H2412-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-H2412-1.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: Phòng xông hơi khô ướt DR-H2412
2.Kích thước: 2400x1500x2100mm
3.Xông ướt:
-Máy SAWO FILAND 6KW/220V/380V
-Gỗ HEMLOCK Canada không mắt loại 1
-Kích thước phòng khô 1200x1500x2100mm
4.Xông ướt:
-Kích thước: 1200x1500x2100mm
-Máy SAWO FILAND 6KW/220V/380V
-Khung INOX mạ TITAN đen
5.Phụ kiện:
-Phụ kiện HIWIN, Tay nắm gỗ
-Kính vách, cửa, mặt trước 10mm
-Trần kính Phun tranh xuyên sáng
-Đèn LED xung quanh trần phòng khô, tựa lưng ghế.
-Phụ kiện xô gáo gỗ
6.Bảo hành: 36 tháng","xong-kho-truyen-thong"
"DR-S3701","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S3701-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S3701-1.jpg","Chi tiết sản phẩn:
1-Tên sản phẩm: DR-S3701
2-Chất liệu: Gỗ, kính cường lực.
3-Công nghệ: Châu Âu
4-Bảo hành: Chính hãng
5-Kích thước: 1500x1200x2000mm
Thông số kỹ thuật:
1-Phòng xông khô với Bếp và đá xông hơi
2-Có bộ hẹn giờ cát, xô và muôi, nhiệt kế / ẩm kế
3-Có ghế dài, kính cường lực 6mm
4-Tùy chọn gỗ: gỗ Phần Lan / Hemlock / Tuyết tùng đỏ / Thông trắng
5-Có môi trường xung quanh đèn chiếu sáng và đèn chiếu sáng trên cùng
6-Tùy chọn: Máy lọc không khí, ngăn đựng tách trà, bảng điều khiển (FM, Bluetooth, Ozone)","xong-kho-truyen-thong"
"DR-S3738","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S3738-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S3738-1.jpg","Chi tiết sản phẩn:
1-Tên sản phẩm: DR-S3738
2-Chất liệu: Gỗ Hemlock/Tuyết tùng, kính cường lực.
3-Công nghệ: Châu Âu
4-Bảo hành: Chính hãng
5-Kích thước: 1200x1050x1950mm
Thông số kỹ thuật:
1-Phòng xông khô hồng ngoại với tấm tinh thể carbon
2-Bảng điểu kiển với điều khiển nhiệt độ, FM, Bluetooth, Ozone
3-Có ghế dài, kính cường lực
4-Tùy chọn gỗ: Hemlock / Tuyết tùng đỏ / Thông
5-Đèn chiếu sáng xung quanh và đèn chiếu sáng trên trần
6-Tùy chọn: Máy lọc không khí, ngăn đựng tách trà.","xong-kho-truyen-thong"
"DR-S3740","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S3740-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S3740-1.jpg","Chi tiết sản phẩn:
1-Tên sản phẩm: DR-S3740
2-Chất liệu: Gỗ Hemlock/Tuyết tùng, kính cường lực.
3-Công nghệ: Châu Âu
4-Bảo hành: Chính hãng
5-Kích thước: 1000x1000x1950mm
Thông số kỹ thuật:
1-Phòng xông khô hồng ngoại với tấm tinh thể carbon
2-Bảng điểu kiển với điều khiển nhiệt độ, FM, Bluetooth, Ozone
3-Có ghế dài, kính cường lực
4-Tùy chọn gỗ: Hemlock / Tuyết tùng đỏ / Thông
5-Đèn chiếu sáng xung quanh và đèn chiếu sáng trên trần
6-Tùy chọn: Máy lọc không khí, ngăn đựng tách trà.","xong-kho-truyen-thong"
"DR-S3741","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S3741-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S3741-1.jpg","Chi tiết sản phẩn:
1-Tên sản phẩm: DR-S3741
2-Chất liệu: Gỗ Hemlock/Tuyết tùng, kính cường lực.
3-Công nghệ: Châu Âu
4-Bảo hành: Chính hãng
5-Kích thước: 900x1000x1950mm
Thông số kỹ thuật:
1-Phòng xông khô hồng ngoại với tấm tinh thể carbon
2-Bảng điểu kiển với điều khiển nhiệt độ, FM, Bluetooth, Ozone
3-Có ghế dài, kính cường lực
4-Tùy chọn gỗ: Hemlock / Tuyết tùng đỏ / Thông
5-Đèn chiếu sáng xung quanh và đèn chiếu sáng trên trần
6-Tùy chọn: Máy lọc không khí, ngăn đựng tách trà.","xong-kho-truyen-thong"
