"name","main_img","images","description","cat"
"DR-G3872","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3872-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3872-1.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: DR-G3872
2.Chất liệu: Gỗ, acrylic, kính cường lực, nhôm
3.Công nghệ: Châu Âu
4.Bảo hành: Chính hãng
5.Kích thước: 1700x1200x2280mm/1900x1200x2280mm/1900x1300x2280mm

Thông số kỹ thuật:
1.Hơi + SAUNA + tắm + nhạc
2.Phần hơi bao gồm: bảng điều khiển cảm ứng, đèn mái, vòi hoa sen trên, vòi sen tay, massage chân
3.Bảng điều khiển 3 chạm với điều chỉnh ánh sáng, thời gian, nhiệt độ, Ozone, FM, Quạt, loa
4.Với vòi hoa sen bar, máy trộn, công tắc, bộ phân phối thảo mộc thơm, thanh vắt khăn, kệ, massage chân
5.Phần phòng xông hơi khô có Bếp và đá xông hơi, Có bộ hẹn giờ cát, xô và muôi, nhiệt kế / ẩm kế
6.Với băng ghế, kính cường lực 6mm, đá lưng Với đèn xung quanh và ánh sáng trên cùng
7.Tùy chọn gỗ: Gỗ Phần Lan / Hemlock / Gỗ tuyết tùng đỏ / Thông trắng
8.Tùy chọn: Máy lọc không khí, ngăn đựng tách trà, Bluetooth, Ozone","phong-xong-hoi-nhap-khau"
"DR-G3880","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3880-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3880-1.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: DR-G3880
2.Chất liệu: Gỗ, acrylic, kính cường lực, nhôm
3.Công nghệ: Châu Âu
4.Bảo hành: Chính hãng
5.Kích thước: 1900x1200x2280mm/1900x1300x2280mm

Thông số kỹ thuật:
1.Hơi + SAUNA + tắm + nhạc
2.Phần hơi bao gồm: bảng điều khiển cảm ứng, đèn mái, vòi hoa sen trên, vòi sen tay, massage chân
3.Bảng điều khiển 3 chạm với điều chỉnh ánh sáng, thời gian, nhiệt độ, Ozone, FM, Quạt, loa
4.Với vòi hoa sen bar, máy trộn, công tắc, bộ phân phối thảo mộc thơm, thanh vắt khăn, kệ, massage chân
5.Phần phòng xông hơi khô có Bếp và đá xông hơi, Có bộ hẹn giờ cát, xô và muôi, nhiệt kế / ẩm kế
6.Với băng ghế, kính cường lực 6mm, đá lưng Với đèn xung quanh và ánh sáng trên cùng
7.Tùy chọn gỗ: Gỗ Phần Lan / Hemlock / Gỗ tuyết tùng đỏ / Thông trắng
8.Tùy chọn: Máy lọc không khí, ngăn đựng tách trà, Bluetooth, Ozone","phong-xong-hoi-nhap-khau"
"DR-G3881","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3881-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3881-1.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: DR-G3881
2.Chất liệu: Gỗ, acrylic, kính cường lực, nhôm
3.Công nghệ: Châu Âu
4.Bảo hành: Chính hãng
5.Kích thước: 1800x1200x2000mm/ 2000x1200x2000mm

Thông số kỹ thuật:
1.Hơi + SAUNA + tắm + nhạc
2.Phần hơi bao gồm: bảng điều khiển cảm ứng, đèn mái, vòi hoa sen trên, vòi sen tay, massage chân
3.Bảng điều khiển 3 chạm với điều chỉnh ánh sáng, thời gian, nhiệt độ, Ozone, FM, Quạt, loa
4.Với vòi hoa sen bar, máy trộn, công tắc, bộ phân phối thảo mộc thơm, thanh vắt khăn, kệ, massage chân
5.Phần phòng xông hơi khô có Bếp và đá xông hơi, Có bộ hẹn giờ cát, xô và muôi, nhiệt kế / ẩm kế
6.Với băng ghế, kính cường lực 6mm, đá lưng Với đèn xung quanh và ánh sáng trên cùng
7.Tùy chọn gỗ: Gỗ Phần Lan / Hemlock / Gỗ tuyết tùng đỏ / Thông trắng
8.Tùy chọn: Máy lọc không khí, ngăn đựng tách trà, Bluetooth, Ozone","phong-xong-hoi-nhap-khau"
"DR-G3890","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3890-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3890-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3890-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3890-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3890-4.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3890-5.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: DR-G3890
2.Chất liệu: Gỗ, acrylic, kính cường lực, nhôm
3.Công nghệ: Châu Âu
4.Bảo hành: Chính hãng
5.Kích thước: 1800x1300x2200mm/ 2000x1300x2200mm

Thông số kỹ thuật:
1.Hơi + SAUNA + tắm + nhạc
2.Phần hơi bao gồm: bảng điều khiển cảm ứng, đèn mái, vòi hoa sen trên, vòi sen tay, massage chân
3.Bảng điều khiển 3 chạm với điều chỉnh ánh sáng, thời gian, nhiệt độ, Ozone, nghe nhạc, Quạt,…
4.Với vòi hoa sen bar, máy trộn, công tắc, bộ phân phối thảo mộc thơm, thanh vắt khăn, kệ, massage chân
5.Phần phòng xông hơi khô có Bếp và đá xông hơi, Có bộ hẹn giờ cát, xô và muôi, nhiệt kế / ẩm kế
6.Với băng ghế, kính cường lực, đá lưng Với đèn xung quanh và ánh sáng trên cùng
7.Tùy chọn gỗ: Hemlock / Gỗ tuyết tùng đỏ / Thông trắng","phong-xong-hoi-nhap-khau"
"DR-G3911","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3911-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-G3911-1.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: DR-G3911
2.Chất liệu: Gỗ, acrylic, kính cường lực, nhôm
3.Công nghệ: Châu Âu
4.Bảo hành: Chính hãng
5.Kích thước: 1800x1300x2280mm/1900x1300x2280mm

2000x1300x2280mm/2300x1300x2280mm
Thông số kỹ thuật:
1.Hơi + SAUNA + tắm + nhạc
2.Phần hơi bao gồm: bảng điều khiển cảm ứng, đèn mái, vòi hoa sen trên, vòi sen tay, massage chân
3.Bảng điều khiển 3 chạm với điều chỉnh ánh sáng, thời gian, nhiệt độ, Ozone, FM, Quạt, loa
4.Với vòi hoa sen bar, máy trộn, công tắc, bộ phân phối thảo mộc thơm, thanh vắt khăn, kệ, massage chân
5.Phần phòng xông hơi khô có Bếp và đá xông hơi, Có bộ hẹn giờ cát, xô và muôi, nhiệt kế / ẩm kế
6.Với băng ghế, kính cường lực 6mm, Với đèn xung quanh và ánh sáng trên cùng
7.Tùy chọn gỗ: Gỗ Phần Lan / Hemlock / Gỗ tuyết tùng đỏ / Thông trắng
8.Tùy chọn: Máy lọc không khí, ngăn đựng tách trà, Bluetooth, Ozone","phong-xong-hoi-nhap-khau"
"DR-H2412","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-H2412-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-H2412-1.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: Phòng xông hơi khô ướt DR-H2412
2.Kích thước: 2400x1500x2100mm
3.Xông ướt:
-Máy SAWO FILAND 6KW/220V/380V
-Gỗ HEMLOCK Canada không mắt loại 1
-Kích thước phòng khô 1200x1500x2100mm
4.Xông ướt:
-Kích thước: 1200x1500x2100mm
-Máy SAWO FILAND 6KW/220V/380V
-Khung INOX mạ TITAN đen
5.Phụ kiện:
-Phụ kiện HIWIN, Tay nắm gỗ
-Kính vách, cửa, mặt trước 10mm
-Trần kính Phun tranh xuyên sáng
-Đèn LED xung quanh trần phòng khô, tựa lưng ghế.
-Phụ kiện xô gáo gỗ
6.Bảo hành: 36 tháng","phong-xong-hoi-nhap-khau"
"DR-S2151","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S2151-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S2151-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S2151-2.jpg","Tên sản phẩm: Phòng xông hơi DR-S2151
Màu sắc: Trắng
Chất liệu: Acrylic / Ngọc trai
Công nghệ: Châu Âu
Bảo hành: Chính hãng
Kích thước:1500x1500x2160mm

Chức năng:

Tắm thông thường như một phòng tắm đứng khép kín có bát trần to và bát phụ
Chức năng xông hơi ướt : Xông hơi bằng hơi nước nóng cùng tinh dầu thảo dược
Bồn tắm massage có đèn mầu
Chức năng massage thân: Massage vùng thắt lưng và massage chân
Đèn ánh sáng nhiều mầu
Có hệ thống bảng điều khiển kỹ thuật số, FM radio, Loa, Kệ đựng đồ, Quạt thông gió, Gương soi, Thanh treo khăn tắm, Hệ thống thu nước ở đáy.

Tùy chọn:

Bluetooth
Massage chân
Ozone / Khủ trùng
Sục khí","phong-xong-hoi-nhap-khau"
"DR-S2160","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S2160-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S2160-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S2160-2.jpg","Tên sản phẩm: Phòng xông hơi massage DR-S2160
Màu sắc: Trắng
Chất liệu: Acrylic / Ngọc trai
Công nghệ: Châu Âu
Bảo hành: Chính hãng
Kích thước:1600x1600x2160mm

Chức năng:

Tắm thông thường như một phòng tắm đứng khép kín có bát trần to và bát phụ
Chức năng xông hơi ướt : Xông hơi bằng hơi nước nóng cùng tinh dầu thảo dược
Bồn tắm massage / đèn mầu
Chức năng massage thân: Massage vùng thắt lưng và massage chân
Đèn ánh sáng nhiều mầu
Có hệ thống bảng điều khiển kỹ thuật số, FM radio, Loa, Kệ đựng đồ, Quạt thông gió, Gương soi, Thanh treo khăn tắm, Hệ thống thu nước ở đáy.

Tùy chọn:

Bluetooth
Massage chân
Ozone / Khủ trùng
Sục khí","phong-xong-hoi-nhap-khau"
"DR-S2161","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S2161-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S2161-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S2161-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S2161-3.jpg","Tên sản phẩm: Phòng xông hơi massage DR-S2161
Màu sắc: Trắng
Chất liệu: Acrylic / Ngọc trai
Công nghệ: Châu Âu
Bảo hành: Chính hãng
Kích thước:1600x1600x2160mm

Chức năng:

Tắm thông thường như một phòng tắm đứng khép kín có bát trần to và bát phụ
Chức năng xông hơi ướt : Xông hơi bằng hơi nước nóng cùng tinh dầu thảo dược
Bồn tắm massage / đèn mầu
Chức năng massage thân: Massage vùng thắt lưng và massage chân
Đèn ánh sáng nhiều mầu
Có hệ thống bảng điều khiển kỹ thuật số, FM radio, Loa, Kệ đựng đồ, Quạt thông gió, Gương soi, Thanh treo khăn tắm, Hệ thống thu nước ở đáy.

Tùy chọn:

Bluetooth
Massage chân
Ozone / Khủ trùng
Sục khí","phong-xong-hoi-nhap-khau"
"DR-S3051","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S3051-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-S3051-1.jpg","Chi tiết sản phẩn:
1.Tên sản phẩm: DR-S3051
2.Chất liệu: Ngọc trai
3.Công nghệ: Châu Âu
4.Bảo hành: Chính hãng
5.Kích thước: 1500x1500x2150mm
Thông số kỹ thuật:
1.Xông hơi + Vòi hoa sen + Bể sục + ánh sáng + Âm nhạc
2.Bể sục và đèn LED cho bồn tắm dưới cùng
3.Bảng điều khiển 3 chạm với đèn, điều chỉnh thời gian & nhiệt độ, FM, Quạt, loa
4.Tay sen, vòi sen, đèn trên.
5.Massage lưng
6.Ổ cắm hơi, thanh treo khăn, kệ, gối
7.Tùy chọn： WIFI TV, Bluetooth, Ozone, Bong bóng, lò sưởi","phong-xong-hoi-nhap-khau"
