"name","main_img","images","description","cat"
"DR-001","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-001-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-001-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-001-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-001-3.jpg","Tên sản phẩm: Bồn tắm Massage DR-001
Màu sắc: Trắng, yếm màu SERC
Chất liệu: Acrylic 
Công nghệ: Châu Âu
Bảo hành: 36 tháng
Kích thước: 1800X1000X720mm

Thông số kỹ thuật:

1. Hệ thống điều khiển kỹ thuật số với bluetooth và Ozone
2. Bơm nước 1×1,5HP + 1×1,0 HP để massage nước, 1 máy bơm 300W để tắm không khí
3. Hệ thống  vòi massage  28 cái.
4. Sục  khí: 18 cái, 4 cái có ánh sáng.
5. 14 chiếc đèn mầu bên trong
6. Sen, vòi chất liệu đồng mạ Chrome
7. Váy có đèn. Thác nước 1 * 80CM, Trang trí bề mặt đá, gối đen
8. Máy sưởi (máy ra nhiệt) 1,5KW tùy chọn","bon-suc-massage-drw"
"DR-0012","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0012-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0012-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0012-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0012-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0012-4.jpg","Tên sản phẩm: Bồn tắm Massage DR-0012
Màu sắc: Trắng
Chất liệu: Acrylic
Công nghệ: Châu Âu
Bảo hành: 36 tháng
Kích thước 1: 1500x800x620mm/1600x800x620mm/1700x800x620mm

Thông số kỹ thuật:

1. Bảng điều khiển máy tính với bluetooth và Ozone
2. Bơm nước 1×1.0HP, 1 máy bơm 300W để tắm không khí
3. Hệ thống  vòi massage  18 cái
4. Sục  khí: 10 chiếc & 2 chiếc có ánh sáng (300W)
5. Hệ thống đèn  LED  7 màu 8 cái
6. Sen, vòi chất liệu đồng mạ Chrome
8. Máy sưởi (máy ra nhiệt) 1,5KW","bon-suc-massage-drw"
"DR-0014","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0014-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0014-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0014-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0014-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0014-4.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0014-5.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0014-6.jpg","Tên sản phẩm: Bồn tắm Massage DR-0014
Chất liệu: Acrylic
Công nghệ: Châu Âu
Bảo hành: 36 tháng
Kích thước: 1500x800x600mm/1600x800x600mm/1700x800x600mm

Thông số kỹ thuật:

1. Hệ thống điều cảm ứng có bluetooth
2. Bơm nước 1×1,5 HP để massage nước, 1 máy bơm 300W để tắm không khí
3. Hệ thống vòi massage 20 cái.
4. Sục khí: 22 cái 6 cái có ánh sáng.
5. Sen, vòi chất liệu đồng mạ Chrome.
6. Thác nước 1×0.8m và 10 đèn Led trên thân bồn
7. 2 gối trắng có thác, 3 yếm có đèn Led.
8. Máy sưởi (máy ra nhiệt) 1,5KW","bon-suc-massage-drw"
"DR-0017","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0017-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0017-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0017-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0017-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0017-4.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0017-5.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0017-6.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0017-7.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0017-8.jpg","Tên sản phẩm: Bồn tắm Massage DR-0017
Chất liệu: Acrylic
Công nghệ: Châu Âu
Bảo hành: 36 tháng
Kích thước: 1700x800x620mm

Thông số kỹ thuật:

1. Hệ thống điều khiển kỹ thuật số với bluetooth và Ozone
2. Bơm nước 1×1,5 HP để massage nước, 1 máy bơm 300W để tắm không khí
3. Hệ thống vòi massage 20 cái.
4. Sục  khí: 12 cái + 6 cái có ánh sáng.
5. Sen, vòi chất liệu đồng mạ Chrome.
6. Thác nước 1x80cm, 2 gối trắng, 3 yếm có đèn Led.
7. Máy sưởi (máy ra nhiệt) 1,5KW Tùy chọn","bon-suc-massage-drw"
"DR-0018","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0018-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0018-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0018-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0018-3.jpg","Tên sản phẩm: Bồn tắm Massage DR-0018
Màu sắc: Trắng
Chất liệu: Acrylic
Công nghệ: Châu Âu
Bảo hành: 36 tháng
Kích thước: 1380x1380x600mm/1500x1500x600mm

Thông số kỹ thuật:

1. Bảng điều khiển máy tính với bluetooth và Ozone
2. Bơm nước 1×1.2HP, 1 máy bơm 400W để tắm không khí
3. Hệ thống  vòi massage  20 cái
4. Sục  khí: 14 chiếc & 4 chiếc có ánh sáng (300W)
5. Hệ thống đèn  LED  7 màu 11 cái
6. Sen, vòi chất liệu đồng mạ Chrome
7. Máy sưởi (máy ra nhiệt) 1,5KW tùy chọn","bon-suc-massage-drw"
"DR-002","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-002-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-002-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-002-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-002-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-002-4.jpg","Tên sản phẩm: Bồn tắm Massage DR-002
Màu sắc: Trắng, SERC
Chất liệu: Acrylic 
Công nghệ: Châu Âu
Bảo hành: 36 tháng
Kích thước: 1800x1500x700mm

Thông số kỹ thuật:

1. Hệ thống điều khiển kỹ thuật số với bluetooth và Ozone
2. Bơm nước 2x1.5HP để massage nước, 1 máy bơm 700W để tắm không khí
3. Hệ thống  vòi massage  36 cái.
4. Sục  khí: 28 cái, 8 cái có ánh sáng.
5. 8 chiếc đèn mầu bên trong
6. Sen, vòi chất liệu đồng mạ Chrome
7. Váy có đèn, gối trắng, trang trí bề mặt đá
8. Máy sưởi (máy ra nhiệt) 1,5KW tùy chọn","bon-suc-massage-drw"
"DR-0020","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0020-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0020-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0020-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0020-3.jpg","Tên sản phẩm: Bồn tắm Massage DR-0020
Màu sắc: Trắng
Chất liệu: Acrylic 
Công nghệ: Châu Âu
Bảo hành: 36 tháng
Kích thước: 1800X1400X680mm

Thông số kỹ thuật:

1. Hệ thống điều khiển kỹ thuật số với bluetooth và Ozone
2. Bơm nước 2×1,0 HP để massage nước, 1 máy bơm 300W để tắm không khí
3. Hệ thống vòi massage 26 cái, 2 cái có đèn mầu.
4. Sục  khí: 26 cái, 4 cái có ánh sáng.
5. 29 chiếc đèn mầu bên trong
6. Sen, vòi chất liệu đồng mạ Chrome
7.Bậc tam cấp đá có đèn, cổ thác nước có đèn, 2 gối trắng, công tắc bằng Aroma
8. Máy sưởi (máy ra nhiệt) 1,5KW tùy chọn","bon-suc-massage-drw"
"DR-0022","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0022-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0022-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0022-2.jpg","Tên sản phẩm: Bồn tắm Massage DR-0022
Màu sắc: Trắng, yếm màu SERC
Chất liệu: Acrylic 
Công nghệ: Châu Âu
Bảo hành: 36 tháng
Kích thước: 1700X1200X650mm

Thông số kỹ thuật:

1. Hệ thống điều khiển kỹ thuật số với bluetooth và Ozone
2. Bơm nước 2×1,5 HP để massage nước, 1 máy bơm 300W để tắm không khí
3. Hệ thống vòi massage 40 cái.
4. Sục  khí: 38 cái, 6 cái có ánh sáng.
5. 18 chiếc đèn mầu bên trong,
6. Sen, vòi chất liệu đồng mạ Chrome
7. Váy có đèn, 2x80cm thác nước, gối trắng.
8. Máy sưởi (máy ra nhiệt) 1,5KW tùy chọn","bon-suc-massage-drw"
"DR-0023","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0023-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0023-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0023-2.jpg","Tên sản phẩm: Bồn tắm Massage DR-0023
Màu sắc: Trắng
Chất liệu: Acrylic 
Công nghệ: Châu Âu
Bảo hành: 36 tháng
Kích thước: 1800x1500x700mm

Thông số kỹ thuật:

1. Hệ thống điều khiển kỹ thuật số với bluetooth và Ozone
2. Bơm nước 1×2.0HP + 1×1.2HP để massage nước, 1 máy bơm 300W để tắm không khí
3. Hệ thống vòi massage 43 cái.
4. Sục  khí: 38 cái, 6 cái có ánh sáng.
5. 16 chiếc đèn mầu bên trong,
6. Sen, vòi chất liệu đồng mạ Chrome
7. Váy có đèn, 2x80cm thác nước, gối trắng
8. Máy sưởi (máy ra nhiệt) 1,5KW tùy chọn","bon-suc-massage-drw"
"DR-0025","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0025-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0025-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07//DR-0025-2.jpg","Tên sản phẩm: Bồn tắm Massage DR-0025
Màu sắc: Màu bạc
Chất liệu: Acrylic 
Công nghệ: Châu Âu
Bảo hành: 36 tháng
Kích thước: 1800X880X620mm

Thông số kỹ thuật:

1. Hệ thống điều khiển kỹ thuật số với bluetooth và Ozone
2. Bơm nước 1×2.0HP để massage nước, 1 máy bơm 300W để tắm không khí
3. Hệ thống vòi massage 24 cái.
4. Sục  khí: 14 cái, 4 cái có ánh sáng.
5. 18 chiếc đèn mầu bên trong,
6. Sen, vòi chất liệu đồng mạ Chrome
7.Váy có đèn, chống tràn bằng thép không gỉ, gối trắng
8. Máy sưởi (máy ra nhiệt) 1,5KW tùy chọn","bon-suc-massage-drw"
